Date,Color,Breed,Sex,State,Name,DateCreated
1999-01-08,Black & White,Springer Spaniel,M/N,Lost,Murphy,2005-06-21
1999-01-18,Red,Lab X Retriever,F/S,Matched,Barley,2005-06-21
1999-01-19,Chocolate,Pitbull X Shep,F,Lost,Drakko,2005-06-21
1999-01-19,Black & Red & Tan,Shep X Collie,M/N,Found,No Name,2005-06-21
1999-01-20,Black,Flat-coat Retriever,M/N,Matched,Dingo,2005-06-21
1999-01-20,Black,Lab,F,Lost,Shona,2005-06-21
1999-01-20,Black,Lab,M,Lost,Panther,2005-06-21
1999-01-21,Black,Sharpei,M,Lost,Kobe,2005-06-21
1999-01-21,Tan,Coyote,M,Matched,Wild-e-coyote,2005-06-21
1999-01-21,White,Lhasa Apso,M/N,Lost,Happy,2005-06-21
1999-01-22,Black & Brown,Border Collie X,F/S,Found,No Name,2005-06-21
1999-01-22,Sable & White,Shetland Sheepdog,M/N,Lost,Jeremy,2005-06-21
1999-01-22,White,Maltese,M/N,Lost,Happy,2005-06-21
1999-01-25,Black & White,Shih Tsu,M,Lost,Toby,2005-06-21
1999-01-26,Fawn,Am Staff,F/S,Lost,Hazelnut,2005-06-21
1999-01-26,Black,Akita X Shep X Chow,M/N,Matched,Chester,2005-06-21
1999-01-26,Gold,Australian X Dingo,M/N,Lost,Budd,2005-06-21
1999-01-26,Black,Lab X Pointer,M/N,Lost,Oscar,2005-06-21
1999-01-26,Black,Lab X,F/S,Lost,Sabrina,2005-06-21
1999-01-26,Black & Tan Curly Fur,Airedale,F/S,Lost,Molly,2005-06-21
1999-01-27,Tan,Shep X Husky,F/S,Lost,No Name,2005-06-21
1999-01-27,Multi Brwn Color,Husky X Lab,F/S,Lost,Montanna,2005-06-21
1999-01-28,Black & Tan & Grey,German Shepherd,F,Lost,Jaffy,2005-06-21
1999-01-28,Tan & Cinnammon,Lab X Chow,M,Lost,Tyree,2005-06-21
1999-01-28,Brown & White,Pointer X Spaniel,F/S,Lost,Kyha,2005-06-21
1999-01-29,Black & White,Border Collie X,F/S,Lost,Sophie,2005-06-21
